"question","a","b","c","d","answer"
"In the technology industry, what does corporate social responsibility (CSR) mainly require companies to consider?","Business practices must account for social, ethical, and environmental effects","Profit should be increased before every other concern","Products must always be delivered at the same quality level","The company should focus only on defeating competitors","A"
"How can engineers make a meaningful contribution to worldwide sustainability?","Working only on problems within their own locality","Avoiding partnerships with other organizations","Relying mainly on quick temporary solutions","Designing technologies that create long-term benefits across communities and countries","D"
"Which international body is known for setting standards related to communication technologies?","UNESCO","ITU","NATO","WHO","B"
"Why do engineers need to be familiar with laws and regulations that apply to their work?","To make every project procedure simpler","To satisfy legal duties and reduce the risk of violations or penalties","To avoid facing ethical questions in their work","To finish all projects as quickly as possible","B"
"What is the usual function of a Non-Disclosure Agreement or NDA?","To protect confidential information shared between the parties","To list an employee's daily job tasks","To set general terms for licensed software use","To explain the limits of open-source software","A"
"In software licensing, what does open source generally mean?","The software has no rules or restrictions at all","The source code is available for users to study, modify, and redistribute under its license","Only government agencies may access the software","The software must be purchased before use","B"
"Why does cultural awareness matter when engineers work on international projects?","It automatically lowers project expenses","It supports respectful communication and effective collaboration","It forces one universal standard on all teams","It reduces the project scope","B"
"What is one major reason transparency is important in engineering practice?","It allows teams to avoid legal issues","It removes the need for documentation","It guarantees lower project costs","It helps build trust, credibility, and confidence","D"
"When engineers work in another country, why should they study the local laws?","To become fluent in the local language","To avoid learning about culture","To improve their technical skills","To make sure their work complies with that country's legal requirements","D"
"What is the main role of professional codes of ethics in engineering?","They replace all laws that apply to engineers","They give professionals a guide for responsible and ethical conduct","They exist primarily to increase company income","They are mainly used to speed up projects","B"
"Which technology is commonly linked with secure, transparent, and difficult-to-alter transaction records?","Virtual Reality","Cloud Computing","Blockchain","Quantum Computing","C"
"Which framework is widely used to help organizations identify and manage cybersecurity risks?","ISO 27001","NIST Cybersecurity Framework","ITIL","COBIT","B"
"Which intellectual property right normally protects original creative works, including software code?","Trademark","Copyright","Patent","Trade secret","B"
"Why is mentorship valuable in an engineering career?","It mainly provides financial assistance","It gives mentors total control over project results","It is only a form of performance evaluation","It allows experienced professionals to guide others and share practical knowledge","D"
"Which agreement usually sets the duties, contributions, and terms between business partners?","Employment Contract","Lease Agreement","Partnership Agreement","Loan Agreement","C"
"Which practice best supports public safety before an engineering product or system is released?","Cutting safety-related expenses","Shortening the schedule as much as possible","Thorough testing and validation before deployment","Reducing employee training","C"
"Under the Philippine Data Privacy Act, RA 10173, who usually leads privacy compliance inside an organization?","Human Resources Manager","Chief Financial Officer (CFO)","Chief Technology Officer (CTO)","Data Privacy Officer (DPO)","D"
"What makes international intellectual property enforcement difficult?","Countries may differ in how strongly they enforce IP rights","Product development is never expensive","Most countries use the same language","Technology is generally unavailable","A"
"What does sustainable development in engineering aim to achieve?","Using only non-renewable resources","Innovating quickly without regard to impact","Earning the highest profit in the shortest time","Meeting present needs while preserving the ability of future generations to meet theirs","D"
"Which situation is an ethical dilemma for a computer engineer?","Choosing a programming language","Preparing a software budget estimate","Being asked to include secret backdoor access in a system","Selecting between equally qualified applicants","C"
"If a radio station broadcasts music without the proper licenses, what consequences may follow?","No penalties because music is public","Only a warning with no penalty","Only imprisonment and no fines","Civil and criminal penalties, such as damages, fines, or imprisonment","D"
"What is the main purpose of the Data Privacy Act of 2012, or RA 10173, in the Philippines?","To allow unrestricted access to personal data","To regulate all social media content","To protect personal information and uphold the rights of data subjects","To make data files easier to read","C"
"Which agency is primarily associated with enforcing the E-Commerce Act, RA 8792, in the Philippines?","DICT","BSP","NAFTA","SEC","A"
"What is a major privacy risk when organizations use big data analytics?","Data may be processed too quickly","Personal or sensitive information may be misused or processed improperly","Infrastructure may be costly","Storage devices may become too large","B"
"What is the main mission of the World Intellectual Property Organization, or WIPO?","To enforce every country's local laws","To promote protection of intellectual property worldwide","To create rules for software coding","To police everyday internet behavior","B"
"What is meant by a zero-day exploit?","A normal system update","A harmless software problem","An attack made the day after a patch","An attack that targets a previously unknown software or system vulnerability","D"
"What does ethical hacking usually involve?","Writing malware for personal use","Breaking into systems without permission","Authorized testing of systems to discover vulnerabilities and help correct them","Only watching network traffic","C"
"If an engineer accidentally exposes confidential data to the public, what should the company do first?","Publicly blame the engineer before investigating","Notify affected parties and begin corrective action","Ignore the incident","Immediately sue the engineer","B"
"What should be a key objective when leading an engineering team?","Helping team members grow and develop while achieving project goals","Reducing expenses above all else","Meeting deadlines at any cost","Forcing maximum output regardless of people","A"
"Why should engineers participate in public policy discussions?","To win contracts automatically","To reduce their professional duties","Their technical insight can help shape laws and policies that affect society and the profession","To network without any public benefit","C"
"Which emerging technology creates immersive digital environments that imitate or simulate real-world settings?","Artificial Intelligence","Internet of Things (IoT)","Virtual Reality (VR)","Blockchain","C"
"In software development, what does work for hire usually refer to?","Software that anyone may freely use","Software made by a contractor but always owned by the contractor","Software already in the public domain","Software created by employees as part of their job duties","D"
"What is the purpose of earning a certification in a technology field?","To formally recognize specialized knowledge or skills","To build social connections only","To automatically increase salary","To guarantee permanent employment","A"
"Which law is commonly cited for legal protection against theft of trade secrets?","Economic Espionage Act","Copyright Act","Patent Act","Trademark Act","A"
"What is the main objective of ethical hacking?","To find security weaknesses and help organizations fix them","To access systems for personal advantage","To create harmful code","To enter systems without approval","A"
"What may happen when an organization fails to follow data protection laws?","It will receive positive publicity","Its cybersecurity will automatically improve","It will gain more customers","It may face legal consequences and financial penalties","D"
"A developer is told to build a feature that may harm user privacy. What is the proper response?","Follow the instruction without asking questions","Post the issue publicly right away","Raise the concern with the project manager and suggest safer alternatives","Resign immediately without discussion","C"
"What helps engineers maintain work-life balance?","Avoiding all non-work activities","Working long hours to prove productivity","Managing professional duties while also protecting personal well-being","Putting work first at all times","C"
"What does a Service Level Agreement, or SLA, usually define?","The conditions for software licensing","An employee's job duties","A list of software features","Expected service performance between a provider and a client","D"
"If an employee sees a colleague using company resources for personal work, what should they do?","Report the concern through a supervisor or the proper channel","Join in the personal work","Confront the colleague aggressively","Ignore the matter completely","A"
"Which ethical principle focuses on respecting a person's control over their own information, including privacy choices?","Autonomy","Justice","Non-maleficence","Beneficence","A"
"What is it called when someone uses another person's work without permission or proper credit?","Patenting","Piracy","Plagiarism","Privacy violation","C"
"Which document is a legal agreement between a software provider and the person using the software?","Software Development Kit (SDK)","End User License Agreement (EULA)","Service Level Agreement (SLA)","Technical Support Agreement","B"
"Which security method is commonly used to protect wireless networks?","FTP","WPA2","WEP","HTTP","B"
"Which example best shows a conflict of interest in professional work?","Making choices that favor personal gain over the employer's interests","Attending professional seminars","Using a personal device for office tasks","Handling several projects at once","A"
"If an engineer uses licensed software beyond the agreed license limits, what is it likely considered?","Ethical hacking","Trade secret infringement","Data privacy breach","Breach of contract","D"
"Before including open-source software in a company product, what must the company check?","That open-source code is always more secure","That the software must never be modified","That no license terms exist","That it follows the requirements of the applicable open-source license","D"
"In the workplace, what does whistleblowing mean?","Advertising company products online","Reporting or disclosing unethical or illegal conduct within an organization","Hiding one's identity online","Creating monitoring software","B"
"When accessing sensitive company information while working remotely, what is the best practice?","Avoid all access even when authorized","Send files to a personal email account","Use public Wi-Fi without protection","Use a secure VPN connection","D"
"What should ethical AI design primarily promote?","Maximum data collection","The fastest possible development","Higher processing power only","Fairness, accountability, and transparency","D"
"Why is it helpful for engineers to join professional organizations such as IEEE or ACM?","They help members stay informed about standards and professional practices","They replace education requirements","They guarantee promotions","They provide guaranteed exclusive jobs","A"
