Question,A,B,C,D,E,Correct Answer(s)
"What are the possible port roles for ports A, B, C, and D in this RSTP-enabled network?","designated, alternate, root, root","designated, root, alternate, root","alternate, root, designated, root","alternate, designated, root, root",,B
"Which destination MAC address is used when frames are sent from the workstation to the default gateway?","MAC address of the virtual router","MAC addresses of both the forwarding and standby routers","MAC address of the standby router","MAC address of the forwarding router",,A
"What is a secure configuration option for remote access to a network device?","Configure SSH","Configure 802.1x","Configure an ACL and apply it to the VTY lines","Configure Telnet",,A
"After a host has generated an IPv6 address by using the DHCPv6 or SLAAC process, how does the host verify that the address is unique and therefore usable?","The host checks the local neighbor cache for the learned address and if the address is not cached, it is considered unique","The host sends an ICMPv6 neighbor solicitation message to the DHCP or SLAAC-learned address and if no neighbor advertisement is returned, the address is considered unique","The host sends an ICMPv6 echo request message to the DHCPv6 or SLAAC-learned address and if no reply is returned, the address is considered unique","The host sends an ARP broadcast to the local link and if no hosts send a reply, the address is considered unique",,B
"Host A has sent a packet to host B. What will be the source MAC and IP addresses on the packet when it arrives at host B?","Source MAC: 00E0.FE91.7799 / Source IP: 10.1.1.10","Source MAC: 00E0.FE91.7799 / Source IP: 10.1.1.1","Source MAC: 00E0.FE10.17A3 / Source IP: 10.1.1.10","Source MAC: 00E0.FE10.17A3 / Source IP: 192.168.1.1","Source MAC: 00E0.FE91.7799 / Source IP: 192.168.1.1",C
"After attaching four PCs to the switch ports and configuring the SSID and firewall, what type of network device includes all of the described features?","standalone wireless access point","firewall appliance","switch","wireless router",,D
"Which wireless encryption method is the most secure?","WPA2 with AES","WPA2 with TKIP","WEP","WPA",,A
"A network administrator has connected two switches using EtherChannel. If STP is running, what will be the end result?","The switches will load balance and utilize both EtherChannels to forward packets","Both port channels will shutdown","The resulting loop will create a broadcast storm","STP will block one of the redundant links",,D
"What are three techniques for mitigating VLAN attacks? (Choose three.)","Enable BPDU guard","Set the native VLAN to an unused VLAN","Use private VLANs","Disable DTP","Enable trunking manually","B, D, E"
"After erasing startup-config and reloading, VLANs 10 and 100 still exist. Why?","These VLANs cannot be deleted unless the switch is in VTP client mode","These VLANs can only be removed using the no vlan commands","These VLANs are default VLANs that cannot be removed","VLANs are stored in vlan.dat in flash memory and must be manually deleted",,D
"Which static route creates a backup route to the 172.16.1.0 network that is only used if the primary RIP learned route fails?","ip route 172.16.1.0 255.255.255.0 s0/0/0","ip route 172.16.1.0 255.255.255.0 s0/0/0 91","ip route 172.16.1.0 255.255.255.0 s0/0/0 111","ip route 172.16.1.0 255.255.255.0 s0/0/0 121",,D
"What is the purpose of ip route 0.0.0.0 0.0.0.0 serial 0/1/1 on Router HQ?","Packets from 10.10.0.0/16 will be forwarded to 10.20.0.0/16 and vice versa","Packets received from the Internet will be forwarded to LANs on R1 or R2","Packets with a destination not in the routing table will be forwarded to the Internet","Packets destined for unknown networks will be dropped",,C
"What is the missing parameter (highlighted ?) in the encapsulation dot1q command for inter-VLAN routing?","It identifies the number of hosts allowed on the interface","It identifies the type of encapsulation used","It identifies the subinterface","It identifies the native VLAN number","It identifies the VLAN number",E
"How is a frame sent from PCA forwarded to PCC if the MAC address table on SW1 is empty?","SW1 forwards the frame directly to SW2. SW2 floods it excluding the incoming port","SW1 floods on all ports excluding the interconnected port to SW2 and the incoming port","SW1 drops the frame because it does not know the destination MAC address","SW1 floods the frame on all ports excluding the port through which the frame entered",,D
"Why would a network administrator disable the SSID broadcast feature for a WLAN?","To reduce the risk of interference by external devices such as microwave ovens","To reduce the risk of unauthorized APs being added to the network","To provide privacy and integrity to wireless traffic by using encryption","To eliminate outsiders scanning for available SSIDs in the area",,D
"What are two advantages of using static routes on a router compared to dynamic routes? (Choose two.)","They automatically switch the path when the topology changes","They improve the efficiency of discovering neighboring networks","They use fewer router resources","They improve network security","They take less time to converge","C, D"
"Which route was configured as a static route to a specific network using the next-hop address?","S 0.0.0.0/0 [1/0] via 10.16.2.2","S 10.17.2.0/24 is directly connected, Serial 0/0/0","C 10.16.2.0/24 is directly connected, Serial0/0/0","S 10.17.2.0/24 [1/0] via 10.16.2.2",,D
"What is the metric to forward a packet to 2001:DB8:ACAD:E:240:BFF:FED4:9DD2?","90","128","2170112","2681856","2682112 / 3193856",E
"What should an administrator do to remove a static route when the destination network no longer exists?","Remove the route using the no ip route command","Change the administrative distance for that route","Nothing. The static route will go away on its own","Change the routing metric for that route",,A
"What is causing VLAN 20 users to be unable to reach VLAN 30 users on router RTA?","The no shutdown command should have been issued on Fa0/0.20 and Fa0/0.30","There is no address on Fa0/0 to use as a default gateway","Dot1q does not support subinterfaces","RTA is using the same subnet for VLAN 20 and VLAN 30",,D
"Which trunk link will not forward any traffic after the root bridge election process is complete?","Trunk1","Trunk2","Trunk3","Trunk4",,B
"How are the Rapid PVST+ link types determined on switch interfaces?","Link types can only be determined if PortFast has been configured","Link types can only be configured on access ports with a single VLAN","Link types are determined automatically","Link types must be configured with specific port configuration commands",,C
"Which two types of spanning tree protocols assume only one spanning-tree instance for the entire bridged network? (Choose two.)","STP","Rapid PVST+","MSTP","PVST+","RSTP","A, E"
"What action takes place when the source MAC address of a frame entering a switch appears in the MAC table associated with a DIFFERENT port?","The switch purges the entire MAC address table","The switch replaces the old entry and uses the more current port","The switch updates the refresh timer for the entry","The switch forwards the frame out of the specified port",,B
"A port security policy drops unknown MACs and logs to syslog when the max MACs is reached. Which violation mode should be configured?","warning","restrict","shutdown","protect",,B
"Which network attack is mitigated by enabling BPDU guard?","rogue switches on a network","rogue DHCP servers on a network","MAC address spoofing","CAM table overflow attacks",,A
"BPDU guard is configured globally but not activated on all access ports. What is the cause?","PortFast is not configured on all access ports","Access ports belong to different VLANs","BPDU guard needs to be activated in interface configuration mode","Access ports with root guard cannot use BPDU guard",,A
"InterVLAN routing on Layer 3 switch – three of five steps required (Type A)?","Creating SVI interfaces","Creating VLANs","Installing a static route","Adjusting the route metric","Assigning ports to VLANs","A, B, E"
"InterVLAN routing on Layer 3 switch – three of five steps required (Type B)?","Installing a static route","Entering no switchport on the port to the router","Modifying the default VLAN","Assigning ports to VLANs","Enabling IP routing","B, D, E"
"InterVLAN routing on Layer 3 switch – three of five steps required (Type C/D/E)?","Assigning ports to VLANs","Enabling IP routing","Entering no switchport on the port to the router","Deleting the default VLAN","Installing a static route","A, B, C"
"Which channel assignments on 802.11g APs will ensure wireless channels are not overlapping?","channels 1, 6, and 11","channels 2, 6, and 10","channels 1, 5, and 9","channels 1, 7, and 13",,A
"Which wireless authentication method depends on a RADIUS authentication server?","WEP","WPA2 Enterprise","WPA Personal","WPA2 Personal",,B
"An administrator notices large numbers of dropped packets on a branch router. What should be done?","Create extra static routes to the same location with an AD of 1","Check the routing table for a missing static route","Create static routes to all internal networks and a default route to the internet","Check the statistics on the default route for oversaturation",,B
"When would a technician use the show interfaces switch command?","To determine if remote access is enabled","When an end device can reach local but not remote devices","To determine the MAC address of a directly attached device on a particular interface","When packets are being dropped from a particular directly attached host",,D
"What is the configuration problem if the default gateway IP is not in the excluded DHCP address list?","The default-router and dns-server commands need subnet masks","The DNS server and default gateway should be in the same subnet","The IP address of the DNS server is not in the excluded address list","The IP address of the default gateway router is not in the excluded address list",,D
"Which two commands allow hosts on a new subnet to receive addresses from the DHCPv4 server? (Choose two.)","R2(config-if)# ip helper-address 10.2.0.250","R1(config)# interface G0/1","R1(config-if)# ip helper-address 10.2.0.250","R1(config)# interface G0/0","R1(config-if)# ip helper-address 10.1.0.254","C, D"
"PC1 cannot receive an IPv4 address. The ip helper-address was configured but the problem persists. What is wrong?","R1 is not configured as a DHCPv4 server","A DHCP server must be installed on the same LAN as the host","The ip helper-address command was applied on the wrong interface","The ip address dhcp command was not issued on Gi0/1",,C
"Which network attack seeks to create a DoS by preventing clients from obtaining a DHCP lease?","CAM table attack","IP address spoofing","DHCP spoofing","DHCP starvation",,D
"Which type of LAN attack does the macof tool target?","VLAN double-tagging","MAC address table overflow","VLAN hopping","DHCP spoofing",,B
"Which information does a switch use to populate the MAC address table?","The source MAC address and the incoming port","The destination MAC address and the incoming port","The source MAC address and the outgoing port","The source and destination MAC addresses and the outgoing port",,A
"Which statement describes a result after multiple Cisco LAN switches are interconnected?","There is one broadcast domain and one collision domain per switch","The broadcast domain expands to all switches","One collision domain exists per switch","Frame collisions increase on segments connecting the switches",,B
"Which method of IPv6 prefix assignment relies on the prefix in RA messages?","EUI-64","Stateful DHCPv6","Static","SLAAC",,D
"On a Cisco 3504 WLC, which tab allows a network administrator to configure a WLAN with WPA2 policy?","MANAGEMENT","WLANs","SECURITY","WIRELESS",,B
"With WPA2 PSK configured on an AP, which credential do users need to connect?","A key that matches the key on the AP","A username and password configured on the AP","A user passphrase","The company username and password through Active Directory",,A
"Which two default wireless router settings can affect network security? (Choose two.)","The SSID is broadcast","MAC address filtering is enabled","WEP encryption is enabled","The wireless channel is automatically selected","A well-known administrator password is set","A, E"
"Why is VLAN 99 missing from the VLAN brief output?","Because there is a cabling problem on VLAN 99","Because VLAN 1 is up and there can only be one management VLAN","Because VLAN 99 has not yet been created","Because VLAN 99 is not a valid management VLAN",,C
"Which three pairs of trunking modes will establish a functional trunk link? (Choose three.)","access – trunk","dynamic auto – dynamic auto","dynamic desirable – dynamic desirable","dynamic desirable – dynamic auto","dynamic desirable – trunk","C, D, E"
"Which three steps should be taken before moving a switch to a new VTP management domain? (Choose three.)","Reset the VTP counters","Download the VTP database from the VTP server","Select the correct VTP mode and version","Reboot the switch","Configure the switch with the name of the new management domain","C, E, and configure the switch with the correct VTP mode"
"Which three modes are PAgP channel establishment modes? (Choose three.)","active","passive","desirable","on","auto","C, D, E"
"Which static route on R1 will forward traffic to the LAN connected to R2?","ipv6 route 2001:db8:12:10::/64 S0/0/0 fe80::2","ipv6 route 2001:db8:12:10::/64 S0/0/1 fe80::2","ipv6 route 2001:db8:12:10::/64 S0/0/1 2001:db8:12:10::1","ipv6 route 2001:db8:12:10::/64 S0/0/0",,B
"How should the static route ip route 209.165.200.224 255.255.255.224 S0/0/0 on R1 be changed to allow LAN users to reach the Internet?","Add the next-hop neighbor address of 209.165.200.226","Change the destination network and mask to 0.0.0.0 0.0.0.0","Change the exit interface to S0/0/1","Add an administrative distance of 254",,B
"Which floating static route creates a backup to the 10.10.0.0/16 network if the EIGRP link fails?","ip route 10.10.0.0 255.255.0.0 Serial 0/0/0 100","ip route 10.10.0.0 255.255.0.0 209.165.200.226 100","ip route 10.10.0.0 255.255.0.0 209.165.200.225 100","ip route 10.10.0.0 255.255.0.0 209.165.200.225 50",,C
"Which command on router HQ configures a default IPv6 route to the Internet?","ipv6 route ::/0 serial 0/1/1","ipv6 route ::1/0 serial 0/1/1","ipv6 route ::/0 serial 0/0/0","ip route 0.0.0.0 0.0.0.0 serial 0/1/1",,A
"Which protocol uses a standby router to assume packet-forwarding responsibility if the active router fails?","HSRP","EtherChannel","VTP","DTP",,A
"What is the effect of the ip arp inspection vlan 10 command on a switch?","It enables DHCP snooping globally on a switch","It specifies the maximum number of L2 addresses allowed on a port","It enables DAI on specific switch interfaces previously configured with DHCP snooping","It globally enables BPDU guard on all PortFast-enabled ports",,C
"Which protocol groups multiple physical ports into one logical link using channel-group 1 mode auto?","DTP","LACP","PAgP","STP",,C
"When a backup trunk link takes over, hosts on two VLANs lose some resource access. What is the most likely cause?","The allowed VLANs on the backup link were not configured correctly","The protected edge port function on the backup trunk interfaces has been disabled","Dynamic Trunking Protocol on the link has failed","Inter-VLAN routing also failed when the trunk link failed",,A
"An IPv6 static route on R1 fails. The interface in the static route is wrong. What should the interface be?","The interface is incorrect – it should be the exit interface s0/0/0","The next hop address is incorrect","The network prefix is incorrect","The destination network is incorrect",,A
"Which protocol uses source IP to destination IP as a load-balancing mechanism?","EtherChannel","VTP","STP","DTP",,A
"The floating static route ip route 0.0.0.0 0.0.0.0 S0/0/1 100 causes traffic to use the backup link even when OSPF is up. What change is needed?","Change the administrative distance to 120","Change the administrative distance to 1","Add the next hop neighbor address of 192.168.0.36","Change the destination network to 192.168.0.34",,A
"Which type of static route is configured with a greater administrative distance to provide a backup?","standard static route","default static route","floating static route","summary static route",,C
"Which option shows a correctly configured IPv4 default static route?","ip route 0.0.0.0 0.0.0.0 S0/0/0","ip route 0.0.0.0 255.0.0.0 S0/0/0","ip route 0.0.0.0 255.255.255.0 S0/0/0","ip route 0.0.0.0 255.255.255.255 S0/0/0",,A
"Which command starts the process to bundle two physical interfaces into an EtherChannel group via LACP?","channel-group 2 mode auto","channel-group 1 mode desirable","interface port-channel 2","interface range GigabitEthernet 0/4 – 5",,D
"What is the primary reason an attacker would launch a MAC address overflow attack?","So the attacker can execute arbitrary code on the switch","So the switch stops forwarding traffic","So the attacker can see frames destined for other hosts","So legitimate hosts cannot obtain a MAC address",,C
"What is a method to launch a VLAN hopping attack?","Introducing a rogue switch and enabling trunking","Flooding the switch with MAC addresses","Sending spoofed IP addresses from the attacking host","Sending spoofed native VLAN information",,D
"Which three ports will be STP designated ports given all Cisco 2960 switches with same priority? (Choose three.)","fa0/21","fa0/10","fa0/13","fa0/9","fa0/20","A, B, C"
"What is the common term for SNMP log messages generated by network devices and sent to the SNMP server?","traps","auditing","acknowledgments","warnings",,A
"Which two parameters must be configured to implement the split-the-traffic approach on a slow WLAN? (Choose two.)","Configure the 2.4 GHz band for basic internet traffic that is not time sensitive","Configure the security mode to WPA Personal TKIP/AES for both networks","Configure the security mode differently for each network","Configure a common SSID for both split networks","Configure the 5 GHz band for streaming multimedia and time sensitive traffic","A, E"
"Which port security configuration dynamically learns MACs and adds them to both the MAC table AND running configuration?","auto secure MAC addresses","dynamic secure MAC addresses","static secure MAC addresses","sticky secure MAC addresses",,D
"What is the IPv6 prefix used for link-local addresses?","FE80::/10","FF01::/8","FC00::/7","2001::/3",,A
"What action takes place when a frame entering a switch has a unicast destination MAC address NOT in the MAC address table?","The switch resets the refresh timer on all MAC address table entries","The switch updates the refresh timer for the entry","The switch replaces the old entry and uses the more current port","The switch will forward the frame out all ports except the incoming port",,D
"Which two steps configure VTP so a new switch receives VLAN updates but cannot add new VLANs? (Choose two.)","Configure the existing VTP domain name on the new switch","Configure all ports of both switches to access mode","Enable VTP pruning","Configure an IP address on the new switch","Configure the new switch as a VTP client","A, E"
"Which three hosts will receive ARP requests from host A? (Choose three.)","host F","host B","host D","host G","host C","B, C, E"
"A technician is configuring a router for a small company with multiple WLANs without dynamic routing. What should be done?","Check the configuration on the floating static route and adjust the AD","Create a floating static route to that network","Verify that there is not a default route in edge router routing tables","Create static routes to all internal networks and a default route to the internet",,D
"Which two functions are performed by a WLC when using split MAC? (Choose two.)","Packet acknowledgments and retransmissions","Frame translation to other protocols","Association and re-association of roaming clients","Beacons and probe responses","Frame queuing and packet prioritization","C, E"
"Which entry should be in the ARP table on Host1 to gain connectivity via HSRP?","The IP address and MAC address of R1","The virtual IP of HSRP group 1 and MAC address of R1","The virtual IP of HSRP group 1 and MAC address of R2","The virtual IP and virtual MAC address for HSRP group 1",,D
"Which three items must be configured on a Cisco switch for remote management access? (Choose three.)","IP address","default gateway","default VLAN","vty lines","VTP domain","A, B, D"
"What can be concluded about a router interface configured with ip helper-address 10.10.10.8?","R1 is configured as a DHCPv4 relay agent","R1 will send a message to a local DHCPv4 client to contact a DHCPv4 server at 10.10.10.8","R1 will broadcast DHCPv4 requests on behalf of local DHCPv4 clients","R1 is operating as a DHCPv4 server",,A
"What action does a DHCPv4 client take if it receives more than one DHCPOFFER?","It sends a DHCPREQUEST identifying which offer it is accepting","It sends a DHCPNAK and begins the DHCP process over","It accepts both DHCPOFFER messages and sends a DHCPACK","It discards both offers and sends a new DHCPDISCOVER",,A
"Which protocol should be disabled to help mitigate VLAN attacks?","STP","CDP","DTP","ARP",,C
"Why is DHCP snooping required when using Dynamic ARP Inspection?","It uses the MAC address table to verify the default gateway IP address","It redirects ARP requests to the DHCP server for verification","It relies on the settings of trusted and untrusted ports set by DHCP snooping","It uses the MAC-to-IP binding database to validate an ARP packet",,D
"Which two items does the show spanning-tree command display? (Choose two.)","The role of the ports in all VLANs","The root bridge BID","The number of broadcasts received on each root port","The IP address of the management VLAN interface","The status of native VLAN ports","A, B"
